,region,state,newCases,accumCases,newDeaths,accumDeaths,date,mortality
1,Norte,RO,0,0,0,0,2020-02-25,0
2,Norte,RO,0,0,0,0,2020-02-26,0
3,Norte,RO,0,0,0,0,2020-02-27,0
4,Norte,RO,0,0,0,0,2020-02-28,0
5,Norte,RO,0,0,0,0,2020-02-29,0
6,Norte,RO,0,0,0,0,2020-03-01,0
7,Norte,RO,0,0,0,0,2020-03-02,0
8,Norte,RO,0,0,0,0,2020-03-03,0
9,Norte,RO,0,0,0,0,2020-03-04,0
10,Norte,RO,0,0,0,0,2020-03-05,0
11,Norte,RO,0,0,0,0,2020-03-06,0
12,Norte,RO,0,0,0,0,2020-03-07,0
13,Norte,RO,0,0,0,0,2020-03-08,0
14,Norte,RO,0,0,0,0,2020-03-09,0
15,Norte,RO,0,0,0,0,2020-03-10,0
16,Norte,RO,0,0,0,0,2020-03-11,0
17,Norte,RO,0,0,0,0,2020-03-12,0
18,Norte,RO,0,0,0,0,2020-03-13,0
19,Norte,RO,0,0,0,0,2020-03-14,0
20,Norte,RO,0,0,0,0,2020-03-15,0
21,Norte,RO,0,0,0,0,2020-03-16,0
22,Norte,RO,0,0,0,0,2020-03-17,0
23,Norte,RO,0,0,0,0,2020-03-18,0
24,Norte,RO,0,0,0,0,2020-03-19,0
25,Norte,RO,1,1,0,0,2020-03-20,0
26,Norte,RO,0,1,0,0,2020-03-21,0
27,Norte,RO,2,3,0,0,2020-03-22,0
28,Norte,RO,0,3,0,0,2020-03-23,0
29,Norte,RO,0,3,0,0,2020-03-24,0
30,Norte,RO,2,5,0,0,2020-03-25,0
31,Norte,RO,0,5,0,0,2020-03-26,0
32,Norte,RO,1,6,0,0,2020-03-27,0
33,Norte,RO,0,6,0,0,2020-03-28,0
34,Norte,RO,0,6,0,0,2020-03-29,0
35,Norte,RO,0,6,0,0,2020-03-30,0
36,Norte,RO,2,8,1,1,2020-03-31,125
37,Norte,RO,1,9,0,1,2020-04-01,0.111111111111111
38,Norte,RO,1,10,0,1,2020-04-02,0.1
39,Norte,RO,0,10,0,1,2020-04-03,0.1
40,Norte,RO,1,11,0,1,2020-04-04,0.0909090909090909
41,Norte,RO,1,12,0,1,2020-04-05,0.0833333333333333
42,Norte,RO,2,14,0,1,2020-04-06,0.0714285714285714
43,Norte,RO,4,18,0,1,2020-04-07,0.0555555555555556
44,Norte,RO,0,18,0,1,2020-04-08,0.0555555555555556
45,Norte,RO,10,28,1,2,2020-04-09,0.0714285714285714
46,Norte,RO,4,32,0,2,2020-04-10,0.0625
47,Norte,RO,1,33,0,2,2020-04-11,0.0606060606060606
48,Norte,RO,2,35,0,2,2020-04-12,0.0571428571428571
49,Norte,RO,7,42,0,2,2020-04-13,0.0476190476190476
50,Norte,RO,22,64,0,2,2020-04-14,0.03125
51,Norte,RO,5,69,0,2,2020-04-15,0.0289855072463768
52,Norte,RO,7,76,1,3,2020-04-16,0.0394736842105263
53,Norte,RO,16,92,0,3,2020-04-17,0.0326086956521739
54,Norte,RO,18,110,0,3,2020-04-18,0.0272727272727273
55,Norte,RO,18,128,1,4,2020-04-19,0.03125
56,Norte,RO,32,160,0,4,2020-04-20,25
57,Norte,RO,39,199,0,4,2020-04-21,0.0201005025125628
58,Norte,RO,24,223,1,5,2020-04-22,0.0224215246636771
59,Norte,RO,27,250,0,5,2020-04-23,0.02
60,Norte,RO,40,290,0,5,2020-04-24,0.0172413793103448
61,Norte,RO,38,328,2,7,2020-04-25,0.0213414634146341
62,Norte,RO,36,364,3,10,2020-04-26,0.0274725274725275
63,Norte,RO,29,393,0,10,2020-04-27,0.0254452926208651
64,Norte,RO,20,413,1,11,2020-04-28,0.026634382566586
65,Norte,RO,20,433,4,15,2020-04-29,0.0346420323325635
66,Norte,RO,69,502,1,16,2020-04-30,0.0318725099601594
67,Norte,RO,83,585,2,18,2020-05-01,0.0307692307692308
68,Norte,RO,68,653,5,23,2020-05-02,0.0352220520673813
69,Norte,RO,52,705,1,24,2020-05-03,0.0340425531914894
70,Norte,RO,51,756,1,25,2020-05-04,0.0330687830687831
71,Norte,RO,105,861,4,29,2020-05-05,0.0336817653890825
72,Norte,RO,82,943,4,33,2020-05-06,0.0349946977730647
73,Norte,RO,155,1098,4,37,2020-05-07,0.0336976320582878
74,Norte,RO,124,1222,2,39,2020-05-08,0.0319148936170213
75,Norte,RO,41,1263,2,41,2020-05-09,0.0324623911322249
76,Norte,RO,39,1302,2,43,2020-05-10,0.033026113671275
77,Norte,RO,94,1396,4,47,2020-05-11,0.0336676217765043
78,Norte,RO,64,1460,3,50,2020-05-12,0.0342465753424658
79,Norte,RO,152,1612,0,50,2020-05-13,0.0310173697270471
80,Norte,RO,74,1686,6,56,2020-05-14,0.033214709371293
81,Norte,RO,103,1789,6,62,2020-05-15,0.0346562325321409
82,Norte,RO,130,1919,7,69,2020-05-16,0.0359562272016675
83,Norte,RO,44,1963,5,74,2020-05-17,0.0376974019358125
84,Norte,RO,80,2043,3,77,2020-05-18,0.0376896720509055
85,Norte,RO,214,2257,10,87,2020-05-19,0.0385467434647763
86,Norte,RO,242,2499,3,90,2020-05-20,0.0360144057623049
87,Norte,RO,160,2659,11,101,2020-05-21,0.0379842045881911
88,Norte,RO,115,2774,5,106,2020-05-22,0.0382119682768565
89,Norte,RO,335,3109,9,115,2020-05-23,0.0369893856545513
90,Norte,RO,92,3201,6,121,2020-05-24,0.0378006872852234
91,Norte,RO,67,3268,0,121,2020-05-25,0.0370257037943696
92,Norte,RO,225,3493,12,133,2020-05-26,0.0380761523046092
93,Norte,RO,369,3862,4,137,2020-05-27,0.0354738477472812
94,Norte,RO,390,4252,5,142,2020-05-28,0.0333960489181562
95,Norte,RO,250,4502,3,145,2020-05-29,0.0322079075966237
96,Norte,RO,241,4743,6,151,2020-05-30,0.0318363904701666
97,Norte,RO,199,4942,5,156,2020-05-31,0.0315661675435047
98,Norte,RO,230,5172,3,159,2020-06-01,0.0307424593967517
99,Norte,RO,305,5477,13,172,2020-06-02,0.031404053313858
100,Norte,RO,236,5713,8,180,2020-06-03,0.0315070890950464
101,Norte,RO,746,6459,14,194,2020-06-04,0.0300356092274346
102,Norte,AC,0,0,0,0,2020-02-25,0
103,Norte,AC,0,0,0,0,2020-02-26,0
104,Norte,AC,0,0,0,0,2020-02-27,0
105,Norte,AC,0,0,0,0,2020-02-28,0
106,Norte,AC,0,0,0,0,2020-02-29,0
107,Norte,AC,0,0,0,0,2020-03-01,0
108,Norte,AC,0,0,0,0,2020-03-02,0
109,Norte,AC,0,0,0,0,2020-03-03,0
110,Norte,AC,0,0,0,0,2020-03-04,0
111,Norte,AC,0,0,0,0,2020-03-05,0
112,Norte,AC,0,0,0,0,2020-03-06,0
113,Norte,AC,0,0,0,0,2020-03-07,0
114,Norte,AC,0,0,0,0,2020-03-08,0
115,Norte,AC,0,0,0,0,2020-03-09,0
116,Norte,AC,0,0,0,0,2020-03-10,0
117,Norte,AC,0,0,0,0,2020-03-11,0
118,Norte,AC,0,0,0,0,2020-03-12,0
119,Norte,AC,0,0,0,0,2020-03-13,0
120,Norte,AC,0,0,0,0,2020-03-14,0
121,Norte,AC,0,0,0,0,2020-03-15,0
122,Norte,AC,0,0,0,0,2020-03-16,0
123,Norte,AC,0,0,0,0,2020-03-17,0
